year,month,dow,sex,count
1997,Sep,Wed,F,24316
1997,Sep,Wed,M,25618
1997,Sep,Thu,F,24346
1997,Sep,Thu,M,25138
1997,Sep,Fri,F,24003
1997,Sep,Fri,M,25500
1997,Sep,Sat,F,17646
1997,Sep,Sat,M,18608
1997,Oct,Sun,F,14862
1997,Oct,Sun,M,15854
1997,Oct,Mon,F,20970
1997,Oct,Mon,M,21981
1997,Oct,Tue,F,23395
1997,Oct,Tue,M,24468
1997,Oct,Wed,F,28531
1997,Oct,Wed,M,29905
1997,Oct,Thu,F,28548
1997,Oct,Thu,M,29484
1997,Oct,Fri,F,27743
1997,Oct,Fri,M,29065
1997,Oct,Sat,F,16596
1997,Oct,Sat,M,17549
1997,Nov,Sun,F,18942
1997,Nov,Sun,M,19933
1997,Nov,Mon,F,21594
1997,Nov,Mon,M,22675
1997,Nov,Tue,F,23731
1997,Nov,Tue,M,25177
1997,Nov,Wed,F,22437
1997,Nov,Wed,M,23545
1997,Nov,Thu,F,20730
1997,Nov,Thu,M,21589
1997,Nov,Fri,F,21700
1997,Nov,Fri,M,22681
1997,Nov,Sat,F,21060
1997,Nov,Sat,M,21795
1997,Dec,Sun,F,15056
1997,Dec,Sun,M,15632
1997,Dec,Mon,F,28092
1997,Dec,Mon,M,29116
1997,Dec,Tue,F,30308
1997,Dec,Tue,M,32164
1997,Dec,Wed,F,27764
1997,Dec,Wed,M,28971
1997,Dec,Thu,F,21276
1997,Dec,Thu,M,21600
1997,Dec,Fri,F,22169
1997,Dec,Fri,M,23253
1997,Dec,Sat,F,16566
1997,Dec,Sat,M,17635
1998,Jan,Sun,F,14982
1998,Jan,Sun,M,15767
1998,Jan,Mon,F,20552
1998,Jan,Mon,M,21684
1998,Jan,Tue,F,23046
1998,Jan,Tue,M,24297
1998,Jan,Wed,F,22292
1998,Jan,Wed,M,23848
1998,Jan,Thu,F,26518
1998,Jan,Thu,M,27944
1998,Jan,Fri,F,27321
1998,Jan,Fri,M,28509
1998,Jan,Sat,F,20960
1998,Jan,Sat,M,21853
